Producto,Categoria,Precio,Unidades_vendidas
Auriculares Bluetooth,Electrónica,59.99,120
Camiseta Deportiva,Ropa,24.5,200
Mouse Inalámbrico,Electrónica,35,150
Zapatillas Running,Ropa,89.9,75
"Laptop 15""",Electrónica,899.99,40
Chaqueta Impermeable,Ropa,120,60
Teclado Mecánico,Electrónica,79.99,90
Mochila Escolar,Accesorios,45,130
Smartwatch,Electrónica,199.99,50
Pantalón Jean,Ropa,49.9,110
Disco Duro 1TB,Electrónica,65,70
Vestido Casual,Ropa,55,95
"Monitor 24""",Electrónica,189.99,45
Bolso de Mano,Accesorios,35,85
Cargador Portátil,Electrónica,29.99,140
Sandalias Verano,Ropa,32,100
"Tablet 10""",Electrónica,299.99,55
Bufanda Invierno,Accesorios,25,75
Parlante Bluetooth,Electrónica,49.99,115
Short Deportivo,Ropa,22,125
Auriculares Gaming,Electrónica,89.9,60
Camisa Formal,Ropa,40,90
Powerbank 20000mAh,Electrónica,39.99,130
Lentes de Sol,Accesorios,28,95
Router WiFi,Electrónica,59.99,80
Blusa Estampada,Ropa,38,105
Webcam HD,Electrónica,55,70
Gorra Casual,Accesorios,19.99,115
Impresora Multifuncional,Electrónica,149.99,30
Cartera de Cuero,Accesorios,89,50
